Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug,open_phase_debug,open_phase_vel_debug,open_Vd_debug,open_Vq_debug,alpha_debug,beta_debug,sectant_debug,cos_p_debug,sin_p_debug
267,1.337233,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
268,1.342250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
269,1.347232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
270,1.352263,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
271,1.357250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
272,1.362231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
273,1.367250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
274,1.372232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
275,1.377250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
276,1.382230,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
277,1.387252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
278,1.392231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
279,1.397251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
280,1.402241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
281,1.407248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
282,1.412240,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
283,1.417249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
284,1.422232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
285,1.427258,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
286,1.432240,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
287,1.437248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
288,1.442232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
289,1.447256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
290,1.452235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
291,1.457248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
292,1.462239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
293,1.467233,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
294,1.472249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
295,1.477230,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
296,1.482247,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
297,1.487231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
298,1.492250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
299,1.497251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
300,1.502252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
301,1.507237,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
