Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug
3832,3.832678,0.501823306,0.500954449,0.497943461,-0.266876191,-0.0453185998,0.312194794,-0.343661755
3833,3.833700,0.500889003,0.500412583,0.499110997,-0.221557602,-0.0251770001,0.246734604,-0.343882054
3834,3.834682,0.499953389,0.499978364,0.500046611,-0.176238999,-0.00503540039,0.1913452,-0.343886733
3835,3.835791,0.499017268,0.499543905,0.500982702,-0.146026596,0.0251770001,0.120849594,-0.344932079
3836,3.836584,0.498081267,0.499109507,0.501918733,-0.130920395,0.0402832031,0.0906371921,-0.345513314
3837,3.837691,0.497144252,0.498674631,0.502855718,-0.0956726,0.0553894006,0.0402831994,-0.346232802
3838,3.838673,0.495984048,0.498242736,0.503786385,-0.0654601976,0.0956726,-0.0302124023,-0.34696871
3839,3.839694,0.495051384,0.497703344,0.504948616,-0.0352478027,0.125884995,-0.0906371921,-0.347514778
3840,3.840678,0.494130373,0.497275889,0.505869627,0.0251770001,0.166168213,-0.176239014,-0.348098397
3841,3.841699,0.493204772,0.496846348,0.506795287,0.0906371996,0.211486802,-0.302123994,-0.348719537
3842,3.842682,0.492289066,0.496421367,0.507710993,0.151062012,0.246734604,-0.397796631,-0.349317193
3843,3.843690,0.491379619,0.495999277,0.508620381,0.201416001,0.281982422,-0.483398438,-0.350060135
3844,3.844673,0.490252674,0.495580375,0.509522915,0.25176999,0.337371796,-0.589141786,-0.350889772
3845,3.845697,0.489368528,0.495065928,0.510631502,0.302124023,0.3826904,-0.669708192,-0.351454586
3846,3.846691,0.488458067,0.49464339,0.511541963,0.332336426,0.433044404,-0.750274658,-0.352129549
3847,3.847686,0.487602234,0.494246185,0.512397766,0.362548798,0.483398378,-0.845947146,-0.35337171
3848,3.848682,0.486728013,0.493840456,0.513271987,0.372619599,0.51864624,-0.891265869,-0.354349047
3849,3.849690,0.485863686,0.493439317,0.514136314,0.3826904,0.558929443,-0.941619873,-0.355663866
3850,3.850673,0.484837413,0.493054092,0.514966369,0.3877258,0.579071045,-0.966796875,-0.356500596
3851,3.851695,0.48398748,0.492568552,0.51601249,0.3826904,0.594177186,-0.976867557,-0.358574808
3852,3.852677,0.483215421,0.492210239,0.516784549,0.342407227,0.589141846,-0.951690674,-0.360482603
3853,3.853697,0.482405722,0.491834491,0.517594337,0.322265625,0.543823183,-0.866088808,-0.362587303
